task_id,instances_num,task_type,job_id,status,start_time,end_time,cpu,memory,duration,disk,submit_time
R2_1,1,A,1,Terminated,87076,87086,50,0.2,10,0,0
M1,1,A,1,Terminated,87076,87083,50,0.2,7,0,0
R6_3,371,A,1,Terminated,157297,157325,100,0.49,28,0,0
J4_2_3,1111,A,1,Terminated,157329,157376,100,0.59,47,0,0
R2_1,1,A,1,Terminated,157322,157328,100,0.39,6,0,0
J8_3_7,1111,A,1,Terminated,157331,157376,100,0.59,45,0,0
M3,12846,A,1,Terminated,157213,157295,100,0.3,82,0,0
R9_8,1,A,1,Terminated,157376,157381,100,0.39,5,0,0
R1_3,371,A,1,Terminated,157297,157322,100,0.49,25,0,0
R5_4,1,A,1,Terminated,157376,157381,100,0.39,5,0,0
R7_6,1,A,1,Terminated,157326,157330,100,0.39,4,0,0
M1,1,A,1,Terminated,299703,299707,100,0.3,4,0,0
R2_1,1,A,1,Terminated,299707,299710,100,0.39,3,0,0
R5_4,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
M6,1138,A,1,Terminated,316284,316297,50,0.2,13,0,0
R16_15,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
R10_9,1,A,1,Terminated,316284,316294,50,0.2,10,0,0
M1,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
R15_14,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
M8,1,A,1,Terminated,316284,316294,50,0.2,10,0,0
M11,116,A,1,Terminated,316284,316302,50,0.2,18,0,0
J13_2_5_7_12,3,A,1,Terminated,316284,316310,50,0.2,26,0,0
J12_10_11,1,A,1,Terminated,316284,316302,50,0.2,18,0,0
R2_1,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
R7_6,5,A,1,Terminated,316284,316305,50,0.3,21,0,0
R4_3,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
R14_13,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
R9_8,1,A,1,Terminated,316284,316294,50,0.2,10,0,0
R17_16,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
M3,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
M4_3,1,A,1,Terminated,119444,119493,100,0.3,49,0,0
M1,1,A,1,Terminated,119444,119471,100,0.3,27,0,0
R3_2,1,A,1,Terminated,119444,119471,100,0.39,27,0,0
R5_4,1,A,1,Terminated,119444,119493,100,0.39,49,0,0
R2_1,1,A,1,Terminated,119444,119471,100,0.49,27,0,0
M1,1,A,1,Terminated,209345,209349,50,0.39,4,0,0
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1,A,10,Terminated,580371,580515,75,0.1,144,0,0
M1,2,A,1,Terminated,222975,222978,100,0.3,3,0,0
R2_1,1,A,1,Terminated,222975,222978,100,0.49,3,0,0
R3_2,1,A,1,Terminated,222975,222978,100,0.39,3,0,0
M1,1,A,1,Terminated,97678,97679,100,0.2,1,0,0
R3_2,1,A,1,Terminated,188349,188357,50,0.2,8,0,0
M1,1,A,1,Terminated,188349,188354,50,0.2,5,0,0
R2_1,1,A,1,Terminated,188349,188355,50,0.2,6,0,0
M1,1,A,1,Terminated,669954,669955,100,0.3,1,0,0
M3,100,A,1,Terminated,669954,669965,100,0.3,11,0,0
R7_6,1,A,1,Terminated,669954,669956,100,0.39,2,0,0
M8_5_7,141,A,1,Terminated,669954,669976,100,0.3,22,0,0
J9_2_3_8,243,A,1,Terminated,669954,669988,100,0.59,34,0,0
R10_9,243,A,1,Terminated,669954,670005,100,0.39,51,0,0
M6,1,A,1,Terminated,669954,669955,100,0.3,1,0,0
R2_1,1,A,1,Terminated,669954,669962,100,0.39,8,0,0
R5_4,1,A,1,Terminated,669954,669956,100,0.39,2,0,0
M4,1,A,1,Terminated,669954,669955,100,0.3,1,0,0
M1,1,A,1,Terminated,420324,420328,50,0.3,4,0,0
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1,A,6,Terminated,675912,675918,30,0.05,6,0,0
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1,A,6,Terminated,675912,675920,5,0.03,8,0,0
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1,A,6,Terminated,675912,675915,10,0.05,3,0,0
J6_2_5,3,A,1,Terminated,231440,231727,100,0.59,287,0,0
M5_4,1,A,1,Terminated,231440,231492,100,0.3,52,0,0
R7_6,3,A,1,Terminated,231440,231727,100,0.39,287,0,0
R2_1,1,A,1,Terminated,231440,231441,100,0.39,1,0,0
M1,1,A,1,Terminated,231440,231441,100,0.3,1,0,0
R2_1,1,A,1,Terminated,545783,545784,50,0.2,1,0,0
M1,1,A,1,Terminated,545783,545784,50,0.2,1,0,0
M1,1,A,1,Terminated,546934,546950,50,0.2,16,0,0
M1,1,A,1,Terminated,274091,274102,100,0.2,11,0,0
M2,1,A,1,Terminated,178509,178513,50,0.3,4,0,0
J3_1_2,1,A,1,Terminated,178509,178533,50,0.3,24,0,0
M1,4,A,1,Terminated,178509,178522,50,0.39,13,0,0
M1,1,A,1,Terminated,618233,618234,100,0.2,1,0,0
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1,A,10,Failed,243225,243228,100,0.1,3,0,0
M1,1,A,1,Terminated,363607,363608,100,0.3,1,0,0
R3_2,1,A,1,Terminated,363607,363608,100,0.49,1,0,0
R2_1,1,A,1,Terminated,363607,363608,100,0.49,1,0,0
R4_3,1,A,1,Terminated,363607,363608,100,0.49,1,0,0
R5_4,1,A,1,Terminated,363607,363608,100,0.39,1,0,0
R3_2,1,A,1,Terminated,633313,633318,100,0.49,5,0,0
R4_3,1,A,1,Terminated,633313,633318,100,0.39,5,0,0
M1,11,A,1,Terminated,633313,633318,100,0.3,5,0,0
R2_1,5,A,1,Terminated,633313,633318,100,0.49,5,0,0
J7_5_6,3,A,1,Terminated,349657,349662,100,0.59,5,0,0
M4_1_2_3,3,A,1,Terminated,349657,349662,100,0.3,5,0,0
M5,1,A,1,Terminated,349657,349658,100,0.3,1,0,0
R2_5,1,A,1,Terminated,349657,349658,100,0.39,1,0,0
M6,1,A,1,Terminated,349657,349660,100,0.3,3,0,0
R1_5,1,A,1,Terminated,349657,349658,100,0.39,1,0,0
R8_4_7,7,A,1,Terminated,349657,349663,100,0.39,6,0,0
R3_5,1,A,1,Terminated,349657,349659,100,0.39,2,0,0
R2_1,1,A,1,Terminated,443709,443732,50,0.2,23,0,0
M1,1,A,1,Terminated,443709,443729,50,0.2,20,0,0
R2_1,1,A,1,Terminated,609606,609624,50,0.2,18,0,0
M3,108,A,1,Terminated,609606,609661,50,0.59,55,0,0
